symbol_kontrolny,typ_obszaru,numer_obwodu,siedziba,wyborcy_uprawnieni,niewazne,wynik_biedron_proc,wynik_bosak_proc,wynik_duda_proc,wynik_holownia_proc,wynik_jakubiak_proc,wynik_kosiniak_proc,wynik_piotrowski_proc,wynik_tanajno_proc,wynik_trzaskowski_proc,wynik_witkowski_proc,wynik_zoltek_proc
9955-85af-4e79-d946-cac5-acde-be64-9140,miasto,15,"Szkoła Podstawowa Uczniów Kreatywnych Spółdzielni Oświatowej, ul. Ludwika Waryńskiego 29, 63-400 Ostrów Wielkopolski",1643,1,2.46045694200351,5.97539543057997,29.701230228471,14.7627416520211,0.175746924428823,2.19683655536028,0.263620386643234,0.263620386643234,43.7609841827768,0.263620386643234,0.175746924428823
63fe-6deb-3d47-7494-cb54-5ebd-340f-6791,miasto,16,"Szkoła Podstawowa Uczniów Kreatywnych Spółdzielni Oświatowej, ul. Ludwika Waryńskiego 29, 63-400 Ostrów Wielkopolski",1056,2,1.70157068062827,8.1151832460733,25.7853403141361,17.4083769633508,0,2.09424083769633,0,0.392670157068063,44.2408376963351,0.130890052356021,0.130890052356021
2d82-9fd4-c7d5-c5a5-87ab-6325-7230-73d0,miasto,18,"Szkoła Podstawowa Uczniów Kreatywnych Spółdzielni Oświatowej, ul. Ludwika Waryńskiego 29, 63-400 Ostrów Wielkopolski",1245,7,3.10810810810811,5.67567567567568,22.1621621621622,17.5675675675676,0,1.89189189189189,0.27027027027027,0.135135135135135,48.9189189189189,0.135135135135135,0.135135135135135
12d6-943e-a633-834f-8630-3222-0a94-c8ad,miasto,54,"Szkoła Podstawowa dla Dziewcząt PŁOMIEŃ, ul. Karliczka 15, 40-488 Katowice",1648,1,1.49672591206735,8.41908325537886,45.1824134705332,11.2254443405051,0,2.15154349859682,0,0.374181478016838,30.6828811973807,0.09354536950421,0.374181478016838
c40e-8f50-2d2f-f01d-e644-2f74-8300-9d42,miasto,55,"Szkoła Podstawowa dla Dziewcząt PŁOMIEŃ, ul. Karliczka 15, 40-488 Katowice",1615,5,3.18840579710145,7.05314009661836,42.4154589371981,14.2995169082126,0.289855072463768,2.02898550724638,0.193236714975845,0.096618357487923,30.1449275362319,0.096618357487923,0.193236714975845
a5ab-592d-e4d8-3187-0439-679b-a442-d338,miasto,64,"Szkoła Podstawowa i Liceum Ogólnokształcące „EUREKA”, os. Przyjaźni 136, 61-689 Poznań",2127,6,3.97476340694006,5.42586750788644,24.8580441640379,15.7728706624606,0.063091482649842,1.51419558359621,0,0.189274447949527,47.7602523659306,0.126182965299685,0.315457413249211
4415-88b2-52d5-f124-4a34-cde4-86b7-9ec2,miasto,66,"Szkoła Podstawowa i Liceum Ogólnokształcące „EUREKA”, os. Przyjaźni 136, 61-689 Poznań",1248,1,4.42477876106195,4.86725663716814,23.3407079646018,15.5973451327434,0,2.21238938053097,0,0,48.6725663716814,0.553097345132743,0.331858407079646
e3b8-da2b-4121-003a-ac08-c857-fca3-fde4,wieś,7,"Szkoła Podstawowa im. 100 - lecia Ruchu Ludowego, Wierzchosławice 713, 33-122 Wierzchosławice",1282,3,1.55502392344498,8.37320574162679,48.0861244019139,9.68899521531101,0.119617224880383,7.41626794258373,0.239234449760766,0.119617224880383,24.0430622009569,0.119617224880383,0.239234449760766
3a80-8ccb-77c8-343c-0d1c-110b-f9e6-58e8,wieś,8,"Szkoła Podstawowa im. 100 - lecia Ruchu Ludowego, Wierzchosławice 713, 33-122 Wierzchosławice",1340,0,1.73812282734647,5.79374275782155,49.1309385863268,14.9478563151796,0.463499420625724,8.11123986095017,0,0.231749710312862,19.2352259559676,0,0.347624565469293
d2fd-87ea-9e76-4d54-081c-36c5-c2d8-f5f4,wieś,1,"Szkoła Podstawowa im. A. Malatyńskiego w Miechowie-Charsznicy, Miechów-Charsznica ul. Szkolna 14, 32-250 Charsznica",1319,2,2.23880597014925,8.83084577114428,45.0248756218906,14.1791044776119,0,5.59701492537313,0.248756218905473,0.124378109452736,23.5074626865672,0.124378109452736,0.124378109452736
